gene	transcripts	chromosome	position	strand	annotation source
2310044G17Rik	ENSMUST00000038369.4	chr12	86947342	+	GENCODE
2310045N01Rik	ENSMUST00000072500.6,ENSMUST00000164040.1	chr8	70152777	+	GENCODE
2310045N01Rik	ENSMUST00000163756.1	chr8	70139710	+	GENCODE
2310047M10Rik	ENSMUST00000051888.2	chr11	69059774	+	GENCODE
2310050C09Rik	ENSMUST00000163439.1	chr3	92870204	-	GENCODE
2310057J18Rik	ENSMUST00000015663.6	chr10	28986302	-	GENCODE
2310057M21Rik	ENSMUST00000059438.9	chr7	131362697	-	GENCODE
2310057N15Rik	ENSMUST00000054223.2	chr16	88774205	-	GENCODE
2310061I04Rik	ENSMUST00000148721.1	chr17	35897430	-	GENCODE
2310061N02Rik	ENSMUST00000050882.2	chr16	88707961	-	GENCODE
2310067B10Rik	ENSMUST00000093912.4	chr11	115765432	+	GENCODE
2310067B10Rik	ENSMUST00000103033.1	chr11	115775755	+	GENCODE
2310079G19Rik	ENSMUST00000052337.2	chr16	88627665	-	GENCODE
2410002F23Rik	ENSMUST00000055858.7,ENSMUST00000107949.1,ENSMUST00000107950.2,ENSMUST00000107948.1,ENSMUST00000084937.4	chr7	44246775	+	GENCODE
2410002F23Rik	ENSMUST00000071296.4	chr7	44247441	+	GENCODE
2410004B18Rik	ENSMUST00000039571.7	chr3	145938013	+	GENCODE
2410004P03Rik	ENSMUST00000095823.2	chr12	17011726	-	GENCODE
2410012M07Rik	ENSMUST00000167951.1	chr9	98864766	+	GENCODE
2410015M20Rik	ENSMUST00000052832.5	chr17	56609770	-	GENCODE
2410016O06Rik	ENSMUST00000053744.7	chr12	83950607	+	GENCODE
2410017I17Rik	ENSMUST00000173025.1,ENSMUST00000056774.9	chr17	36145017	+	GENCODE
2410018M08Rik	ENSMUST00000041466.7	chr5	129895722	+	GENCODE
2410066E13Rik	ENSMUST00000046276.6	chr6	54681771	+	GENCODE
2410076I21Rik	ENSMUST00000098674.4	chr9	58741558	-	GENCODE
2410089E03Rik	ENSMUST00000110617.1	chr15	8169105	+	GENCODE
2410124H12Rik	ENSMUST00000160494.1	chr16	92478742	+	GENCODE
2410127L17Rik	ENSMUST00000025632.9	chr19	18670779	+	GENCODE
2410131K14Rik	ENSMUST00000049138.7	chr5	118245226	+	GENCODE
2410137M14Rik	ENSMUST00000039846.5	chr17	36981236	-	GENCODE
2410141K09Rik	ENSMUST00000091541.4	chr13	66433894	-	GENCODE
2510002D24Rik	ENSMUST00000055413.6	chr16	18836577	+	GENCODE
2510003E04Rik	ENSMUST00000065887.7	chr10	62578456	-	GENCODE
2510009E07Rik	ENSMUST00000053336.7	chr16	21694664	-	GENCODE
2510039O18Rik	ENSMUST00000103232.1	chr4	147940894	+	GENCODE
2510046G10Rik	ENSMUST00000084587.1	chr7	126649569	-	GENCODE
2510049J12Rik	ENSMUST00000112957.1	chr6	115592575	-	GENCODE
2600006K01Rik	ENSMUST00000047607.1	chr2	29869784	-	GENCODE
2610001J05Rik	ENSMUST00000139231.1,ENSMUST00000155856.1	chr6	13871491	-	GENCODE
2610002J02Rik	ENSMUST00000178473.1	chr4	155249965	+	GENCODE
2610002M06Rik	ENSMUST00000120722.1	chrX	107816333	-	GENCODE
2610008E11Rik	ENSMUST00000039271.6	chr10	79097599	-	GENCODE
2610015P09Rik	ENSMUST00000178400.1	chr16	43889901	+	GENCODE
2610018G03Rik	ENSMUST00000033444.4	chrX	50841046	+	GENCODE
2610020H08Rik	ENSMUST00000106520.1,ENSMUST00000084644.2	chr7	119794069	+	GENCODE
2610021A01Rik	ENSMUST00000163475.1	chr7	41599260	+	GENCODE
2610028H24Rik	ENSMUST00000092406.5	chr10	76449080	+	GENCODE
2610034B18Rik	ENSMUST00000048731.5	chr7	79935358	-	GENCODE
2610034M16Rik	ENSMUST00000025064.7	chr17	58991374	-	GENCODE
2610042L04Rik	ENSMUST00000112778.3	chr14	4339562	+	GENCODE
2610042L04Rik	ENSMUST00000165466.1	chr14	4334762	+	GENCODE
2610044O15Rik8	ENSMUST00000079272.6	chr8	129221949	-	GENCODE
2610203C22Rik	ENSMUST00000115480.1	chr1	9631091	-	GENCODE
2610301B20Rik	ENSMUST00000080517.7,ENSMUST00000101504.2	chr4	10874532	+	GENCODE
2610303G11Rik	ENSMUST00000061643.2	chr9	98187151	-	GENCODE
2610305D13Rik	ENSMUST00000105720.1,ENSMUST00000037565.7	chr4	147642509	-	GENCODE
2610318N02Rik	ENSMUST00000093336.6	chr16	17125105	-	GENCODE
2610507B11Rik	ENSMUST00000010421.6	chr11	78261751	+	GENCODE
2610524H06Rik	ENSMUST00000100850.4	chr5	114823467	-	GENCODE
2610528A11Rik	ENSMUST00000179488.1	chr14	37110100	-	GENCODE
2610528J11Rik	ENSMUST00000030261.5	chr4	118527242	+	GENCODE
2610528J11Rik	ENSMUST00000106367.1	chr4	118526998	+	GENCODE
2700029M09Rik	ENSMUST00000037190.8	chr8	60890450	+	GENCODE
2700046A07Rik	ENSMUST00000067450.1,ENSMUST00000048109.5	chr18	62756310	-	GENCODE
2700049A03Rik	ENSMUST00000149564.1,ENSMUST00000045907.8	chr12	71136847	+	GENCODE
2700050L05Rik	ENSMUST00000051169.6,ENSMUST00000128901.2	chr7	133637617	+	GENCODE
2700060E02Rik	ENSMUST00000022341.5	chr14	19823822	-	GENCODE
2700062C07Rik	ENSMUST00000097646.3	chr18	24470860	+	GENCODE
2700073G19Rik	ENSMUST00000091090.4	chr12	87444016	-	GENCODE
2700081O15Rik	ENSMUST00000159348.1	chr19	7417624	+	GENCODE
2700089E24Rik	ENSMUST00000100864.4	chr6	133105238	+	GENCODE
2700094K13Rik	ENSMUST00000117299.2,ENSMUST00000102647.3,ENSMUST00000102646.1	chr2	84670723	-	GENCODE
2700097O09Rik	ENSMUST00000021406.5	chr12	55080109	-	GENCODE
2810004N23Rik	ENSMUST00000034465.7	chr8	124863028	-	GENCODE
2810006K23Rik	ENSMUST00000111477.1,ENSMUST00000077376.2	chr5	124328092	+	GENCODE
2810007J24Rik	ENSMUST00000063509.4	chr7	14446585	-	GENCODE
2810007J24Rik	ENSMUST00000168252.2	chr7	14438550	-	GENCODE
2810021J22Rik	ENSMUST00000073924.3	chr11	58867215	+	GENCODE
2810025M15Rik	ENSMUST00000061537.5	chr1	157412351	+	GENCODE
2810032G03Rik	ENSMUST00000037953.6	chr12	5375869	+	GENCODE
2810032G03Rik	ENSMUST00000163627.1	chr12	5411640	+	GENCODE
2810403A07Rik	ENSMUST00000029696.6	chr3	88685793	+	GENCODE
2810407A14Rik	ENSMUST00000069809.4	chr16	87784074	+	GENCODE
2810408A11Rik	ENSMUST00000102580.3	chr11	69900956	-	GENCODE
2810408M09Rik	ENSMUST00000039007.6	chr2	165493323	-	GENCODE
2810417H13Rik	ENSMUST00000045802.6	chr9	65890236	+	GENCODE
2810428I15Rik	ENSMUST00000075175.5	chr8	70506751	-	GENCODE
2810459M11Rik	ENSMUST00000165824.1	chr1	86045862	+	GENCODE
2810474O19Rik	ENSMUST00000046689.6,ENSMUST00000100765.4	chr6	149309451	+	GENCODE
2900011O08Rik	ENSMUST00000056521.5	chr16	13986603	+	GENCODE
2900026A02Rik	ENSMUST00000050125.8	chr5	113163350	-	GENCODE
2900055J20Rik	ENSMUST00000096572.1	chr18	40256961	+	GENCODE
2900060B14Rik	ENSMUST00000097615.1	chr1	118458746	-	GENCODE
2900092C05Rik	ENSMUST00000032541.4	chr7	12512516	+	GENCODE
2900097C17Rik	ENSMUST00000088578.2	chr2	156392828	-	GENCODE
3010026O09Rik	ENSMUST00000020647.3	chr11	50174848	+	GENCODE
3100002H09Rik	ENSMUST00000053604.2	chr4	124610802	-	GENCODE
3110001I22Rik	ENSMUST00000035426.5	chr16	13671928	+	GENCODE
3110002H16Rik	ENSMUST00000025276.8	chr18	12168716	+	GENCODE
3110007F17Rik	ENSMUST00000169445.2	chrX	123117566	+	GENCODE
3110009E18Rik	ENSMUST00000112644.2	chr1	120121194	+	GENCODE
3110018I06Rik	ENSMUST00000082269.2	chr12	107488631	+	GENCODE
3110021A11Rik	ENSMUST00000062454.1	chr6	119848192	+	GENCODE
3110021N24Rik	ENSMUST00000178992.1	chr4	108719648	+	GENCODE
3110035E14Rik	ENSMUST00000088666.3	chr1	9601198	+	GENCODE
3110039M20Rik	ENSMUST00000110746.1	chr12	49385173	+	GENCODE
3110040N11Rik	ENSMUST00000026092.8	chr7	81789477	-	GENCODE
3110043O21Rik	ENSMUST00000108127.3	chr4	35225879	-	GENCODE
3110047P20Rik	ENSMUST00000159584.1	chr5	63649450	+	GENCODE
3110052M02Rik	ENSMUST00000039726.7	chr17	21657581	+	GENCODE
3110057O12Rik	ENSMUST00000108077.3	chr3	40894321	+	GENCODE
3110057O12Rik	ENSMUST00000108078.2	chr3	40846969	+	GENCODE
3110057O12Rik	ENSMUST00000159774.1	chr3	40894144	+	GENCODE
3110062M04Rik	ENSMUST00000055097.4,ENSMUST00000115007.2	chr6	34878039	-	GENCODE
3110070M22Rik	ENSMUST00000099148.2	chr13	119488382	-	GENCODE
3110079O15Rik	ENSMUST00000027476.4	chr1	87470263	+	GENCODE
3110082I17Rik	ENSMUST00000066052.7	chr5	139460501	-	GENCODE
3110082J24Rik	ENSMUST00000127749.3	chr5	30105358	-	GENCODE
3222401L13Rik	ENSMUST00000097608.2	chr18	37655906	+	GENCODE
3300002I08Rik	ENSMUST00000051153.5	chr2	150362764	-	GENCODE
3425401B19Rik	ENSMUST00000096038.3	chr14	32685271	-	GENCODE
3632451O06Rik	ENSMUST00000036972.6,ENSMUST00000118129.1	chr14	49783376	-	GENCODE
3830403N18Rik	ENSMUST00000033458.2	chrX	56136571	+	GENCODE
3830406C13Rik	ENSMUST00000163392.1	chr14	12284208	+	GENCODE
3830408C21Rik	ENSMUST00000095459.1	chr13	107031962	+	GENCODE
3830417A13Rik	ENSMUST00000033522.8	chrX	64173547	+	GENCODE
3930402G23Rik	ENSMUST00000040608.3	chr8	10928456	-	GENCODE
4430402I18Rik	ENSMUST00000025872.6	chr19	28964153	-	GENCODE
4430402I18Rik	ENSMUST00000160542.2,ENSMUST00000164777.1	chr19	28963586	-	GENCODE
4430402I18Rik	ENSMUST00000162110.1	chr19	28967799	-	GENCODE
4632404H12Rik	ENSMUST00000038450.1	chr3	89773239	-	GENCODE
4632415L05Rik	ENSMUST00000059704.4	chr3	19894885	+	GENCODE
4632428N05Rik	ENSMUST00000020301.7,ENSMUST00000105460.1	chr10	60346850	+	GENCODE
4632433K11Rik	ENSMUST00000076791.3	chr7	5034117	+	GENCODE
4632434I11Rik	ENSMUST00000032877.9	chr7	92874212	-	GENCODE
4731417B20Rik	ENSMUST00000053319.2	chr5	136615327	-	GENCODE
4732440D04Rik	ENSMUST00000097832.1	chr1	6215291	-	GENCODE
4732456N10Rik	ENSMUST00000023714.4	chr15	101562949	-	GENCODE
4732465J04Rik	ENSMUST00000084674.4	chr10	95792570	+	GENCODE
4732471J01Rik	ENSMUST00000066316.7	chr7	25384804	+	GENCODE
4833403I15Rik	ENSMUST00000025358.2	chr18	46850038	+	GENCODE
4833413E03Rik	ENSMUST00000013706.7	chr17	31557125	+	GENCODE
4833420G17Rik	ENSMUST00000026519.8	chr13	119462758	+	GENCODE
4833423E24Rik	ENSMUST00000099923.1	chr2	85519023	-	GENCODE
4833424O15Rik	ENSMUST00000106473.2,ENSMUST00000039564.6	chr3	117575292	+	GENCODE
4833427G06Rik	ENSMUST00000170947.1	chr9	51102077	-	GENCODE
4833439L19Rik	ENSMUST00000026989.8	chr13	54565434	-	GENCODE
4921501E09Rik	ENSMUST00000024121.4	chr17	33068057	-	GENCODE
4921504E06Rik	ENSMUST00000062060.4	chr2	19553913	-	GENCODE
4921507P07Rik	ENSMUST00000031852.4	chr6	50596631	-	GENCODE
4921508M14Rik	ENSMUST00000061679.2	chr12	34874827	-	GENCODE
4921509C19Rik	ENSMUST00000080132.2	chr2	151476152	-	GENCODE
4921511C20Rik	ENSMUST00000051530.3	chrX	127394292	+	GENCODE
4921511H03Rik	ENSMUST00000088796.2,ENSMUST00000160634.1,ENSMUST00000159546.1	chr5	7304133	+	GENCODE
4921511M17Rik	ENSMUST00000177994.1	chrX	154033826	-	GENCODE
4921511M17Rik	ENSMUST00000179369.1	chrX	154032450	-	GENCODE
4921513D11Rik	ENSMUST00000086570.1	chr17	79626676	+	GENCODE
4921513I03Rik	ENSMUST00000056994.3	chr10	120765773	+	GENCODE
4921514A10Rik	ENSMUST00000181450.1	chr4	141115659	+	GENCODE
4921517D22Rik	ENSMUST00000061597.5	chr13	59694100	-	GENCODE
4921522P10Rik	ENSMUST00000048606.1	chr8	8661800	+	GENCODE
4921524J17Rik	ENSMUST00000047749.5	chr8	85432840	-	GENCODE
4921524L21Rik	ENSMUST00000044829.3	chr18	6603632	+	GENCODE
4921528I07Rik	ENSMUST00000072612.5	chr9	114317027	-	GENCODE
4921530D09Rik	ENSMUST00000028309.3	chr2	25617677	-	GENCODE
4921530L21Rik	ENSMUST00000045892.1	chr14	95881265	+	GENCODE
4921536K21Rik	ENSMUST00000020712.4	chr11	3895097	-	GENCODE
4921539E11Rik	ENSMUST00000168664.1,ENSMUST00000030245.3	chr4	103290862	-	GENCODE
4922501C03Rik	ENSMUST00000093802.4	chr9	87255535	-	GENCODE
4922501L14Rik	ENSMUST00000051862.6	chr3	154711132	+	GENCODE
4922502B01Rik	ENSMUST00000079189.3	chr8	109251727	-	GENCODE
4922502D21Rik	ENSMUST00000051283.6	chr6	129331795	-	GENCODE
4922505E12Rik	ENSMUST00000060041.6	chr1	182749179	-	GENCODE
4930402F06Rik	ENSMUST00000113010.2	chr2	35397174	-	GENCODE
4930402H24Rik	ENSMUST00000044766.8	chr2	130840133	-	GENCODE
4930402K13Rik	ENSMUST00000059967.1	chrX	9104561	+	GENCODE
4930404A10Rik	ENSMUST00000094193.2	chr11	54370651	+	GENCODE
4930404H24Rik	ENSMUST00000109783.1	chr2	153492789	+	GENCODE
4930404N11Rik	ENSMUST00000020456.4	chr10	81365815	-	GENCODE
4930407I10Rik	ENSMUST00000100396.2	chr15	82059150	+	GENCODE
4930408O17Rik	ENSMUST00000021520.1	chr12	104865329	+	GENCODE
4930412D23Rik	ENSMUST00000052500.5	chrX	127736553	-	GENCODE
4930412O13Rik	ENSMUST00000026889.1	chr2	9881251	+	GENCODE
4930412O13Rik	ENSMUST00000114919.1	chr2	9882635	+	GENCODE
4930415F15Rik	ENSMUST00000109678.1	chr11	11489265	+	GENCODE
4930415L06Rik	ENSMUST00000088146.2	chrX	89932851	-	GENCODE
4930415O20Rik	ENSMUST00000023728.6	chr15	98571003	+	GENCODE
4930422G04Rik	ENSMUST00000043108.4	chr3	127553488	+	GENCODE
4930423O20Rik	ENSMUST00000072455.4	chr16	70382384	-	GENCODE
4930425F17Rik	ENSMUST00000077150.4	chr2	131647824	+	GENCODE
4930426L09Rik	ENSMUST00000028069.1	chr2	18998342	+	GENCODE
4930427A07Rik	ENSMUST00000049271.8	chr12	113156420	+	GENCODE
4930428D18Rik	ENSMUST00000101419.1,ENSMUST00000178974.1	chrX	76393400	+	GENCODE
4930429B21Rik	ENSMUST00000057768.2	chr3	32365774	+	GENCODE
4930430A15Rik	ENSMUST00000028577.2	chr2	111229601	-	GENCODE
4930430D24Rik	ENSMUST00000089060.3	chrX	38043113	-	GENCODE
4930430F08Rik	ENSMUST00000054471.8	chr10	100589258	-	GENCODE
4930430O22Rik	ENSMUST00000078701.3	chr5	115436605	-	GENCODE
4930431F12Rik	ENSMUST00000079389.5	chr5	44966582	+	GENCODE
4930432E11Rik	ENSMUST00000053635.3	chr7	29560514	+	GENCODE
4930432K09Rik	ENSMUST00000101056.1,ENSMUST00000002310.6	chr5	87825690	+	GENCODE
4930432K21Rik	ENSMUST00000118856.1,ENSMUST00000093375.4	chr8	84148204	+	GENCODE
4930432M17Rik	ENSMUST00000098646.3	chr3	121671316	+	GENCODE
4930433I11Rik	ENSMUST00000171664.1	chr7	40987554	+	GENCODE
4930433N12Rik	ENSMUST00000048921.6	chr9	3199781	-	GENCODE
4930435E12Rik	ENSMUST00000122078.1	chr16	38828748	-	GENCODE
4930435H24Rik	ENSMUST00000030975.5	chr5	45169563	-	GENCODE
4930438A08Rik	ENSMUST00000108834.1	chr11	58274798	+	GENCODE
4930442H23Rik	ENSMUST00000056086.4	chr10	81183848	-	GENCODE
4930444G20Rik	ENSMUST00000092672.4	chr10	22068078	-	GENCODE
4930444P10Rik	ENSMUST00000145070.1,ENSMUST00000151004.1	chr1	16093324	-	GENCODE
4930447A16Rik	ENSMUST00000022897.1	chr15	37425553	+	GENCODE
4930447C04Rik	ENSMUST00000044000.5,ENSMUST00000110489.2	chr12	72917832	-	GENCODE
4930447F04Rik	ENSMUST00000033525.2	chrX	66304223	-	GENCODE
4930449A18Rik	ENSMUST00000094228.4	chr3	59778095	+	GENCODE
4930449E01Rik	ENSMUST00000022711.1	chr14	105498787	+	GENCODE
4930449I24Rik	ENSMUST00000110598.1	chr5	146502427	+	GENCODE
4930451C15Rik	ENSMUST00000100123.3,ENSMUST00000023442.6	chr16	17561246	-	GENCODE
4930451G09Rik	ENSMUST00000090457.5	chr16	4968935	+	GENCODE
4930451I11Rik	ENSMUST00000061695.3	chr7	126831495	-	GENCODE
4930452B06Rik	ENSMUST00000102996.3	chr14	8666239	-	GENCODE
4930453N24Rik	ENSMUST00000076991.6	chr16	64771160	-	GENCODE
4930455H04Rik	ENSMUST00000117592.1	chr3	116968266	+	GENCODE
4930467E23Rik	ENSMUST00000098909.3	chr8	19729745	+	GENCODE
4930468A15Rik	ENSMUST00000114054.1	chrX	76602923	-	GENCODE
4930470P17Rik	ENSMUST00000062355.1	chr2	170602016	-	GENCODE
4930474N05Rik	ENSMUST00000177985.1	chr14	36094964	+	GENCODE
4930480E11Rik	ENSMUST00000035626.6	chrX	78369642	+	GENCODE
4930481A15Rik	ENSMUST00000174412.1,ENSMUST00000153017.2	chr19	5406817	+	GENCODE
4930486L24Rik	ENSMUST00000091569.5	chr13	60864415	-	GENCODE
4930500M09Rik	ENSMUST00000055830.1	chr1	170214859	+	GENCODE
4930502E18Rik	ENSMUST00000069209.1	chrX	53724825	+	GENCODE
4930503B20Rik	ENSMUST00000049703.5	chr3	146651316	-	GENCODE
4930503E14Rik	ENSMUST00000100688.2	chr14	44171370	-	GENCODE
4930503L19Rik	ENSMUST00000067556.3	chr18	70472479	-	GENCODE
4930504O13Rik	ENSMUST00000064614.3	chr11	58452922	-	GENCODE
4930505A04Rik	ENSMUST00000041763.7	chr11	30471807	-	GENCODE
4930506M07Rik	ENSMUST00000047511.7	chr19	59076068	-	GENCODE
4930507D05Rik	ENSMUST00000181110.1	chr10	62449488	+	GENCODE
4930510E17Rik	ENSMUST00000034550.3	chr9	53264614	+	GENCODE
4930511M11Rik	ENSMUST00000014673.2	chr5	3657003	+	GENCODE
4930512B01Rik	ENSMUST00000021378.3	chr12	69790287	+	GENCODE
4930512M02Rik	ENSMUST00000081896.4	chr11	11627823	-	GENCODE
4930513O06Rik	ENSMUST00000033625.1	chrX	139086242	+	GENCODE
4930516K23Rik	ENSMUST00000138055.1	chr7	104137404	-	GENCODE
4930518I15Rik	ENSMUST00000099141.2	chr2	156857945	-	GENCODE
4930519G04Rik	ENSMUST00000031547.5	chr5	114853663	+	GENCODE
4930519P11Rik	ENSMUST00000181369.1	chr2	154613436	-	GENCODE
4930522H14Rik	ENSMUST00000102725.4,ENSMUST00000082306.7	chr4	109531249	-	GENCODE
4930522L14Rik	ENSMUST00000100937.3	chr5	109751885	-	GENCODE
4930523C07Rik	ENSMUST00000168359.1	chr1	160044583	+	GENCODE
4930524B15Rik	ENSMUST00000102829.3	chr11	31965591	+	GENCODE
4930524J08Rik	ENSMUST00000046721.1	chr5	99979060	+	GENCODE
4930524N10Rik	ENSMUST00000082357.1	chrX	154343391	-	GENCODE
4930525M21RIK	ENSMUST00000184432.1	chrX	38018814	-	GENCODE
4930526D03Rik	ENSMUST00000052416.3	chr2	181698441	-	GENCODE
4930529M08Rik	ENSMUST00000133433.1	chr2	145934813	+	GENCODE
4930533K18Rik	ENSMUST00000058942.5	chr10	70868668	+	GENCODE
4930533L02Rik	ENSMUST00000060220.1	chr7	125318358	+	GENCODE
4930535I16Rik	ENSMUST00000181410.1	chr4	123918021	-	GENCODE
4930538K18Rik	ENSMUST00000030394.2	chr4	119218216	-	GENCODE
4930539E08Rik	ENSMUST00000062357.4	chr17	28915323	-	GENCODE
4930542C12Rik	ENSMUST00000171096.1	chr9	78396157	-	GENCODE
4930544D05Rik	ENSMUST00000180052.1,ENSMUST00000144960.1	chr11	70615878	+	GENCODE
4930544G11Rik	ENSMUST00000043382.7	chr6	65952570	+	GENCODE
4930544L04Rik	ENSMUST00000097982.2	chr7	135396341	+	GENCODE
4930546C10Rik	ENSMUST00000025428.5	chr18	68950140	-	GENCODE
4930546H06Rik	ENSMUST00000172097.2	chr17	17831003	+	GENCODE
4930547C10Rik	ENSMUST00000029995.5	chr4	52596273	+	GENCODE
4930547C10Rik	ENSMUST00000107671.1	chr4	52607205	+	GENCODE
4930548G14Rik	ENSMUST00000060825.5	chr15	46625455	+	GENCODE
4930548H24Rik	ENSMUST00000031020.2	chr5	31485858	+	GENCODE
4930549C01Rik	ENSMUST00000046647.2	chr4	136610436	+	GENCODE
4930550C14Rik	ENSMUST00000005262.1	chr9	53405285	+	GENCODE
4930550L24Rik	ENSMUST00000062542.4	chrX	58911460	+	GENCODE
4930550L24Rik	ENSMUST00000118305.1	chrX	58909359	+	GENCODE
4930553J12Rik	ENSMUST00000023648.5	chr16	88820214	+	GENCODE
4930553M12Rik	ENSMUST00000057837.1	chr4	88868378	-	GENCODE
4930555F03Rik	ENSMUST00000163925.1	chr8	49463322	+	GENCODE
4930555G01Rik	ENSMUST00000112770.2	chr14	5050628	+	GENCODE
4930556J24Rik	ENSMUST00000042344.1	chr11	3976777	-	GENCODE
4930557A04Rik	ENSMUST00000057113.1	chrX	9849702	+	GENCODE
4930558K02Rik	ENSMUST00000162676.1	chr1	161979635	-	GENCODE
4930562C15Rik	ENSMUST00000100211.3	chr16	4835415	+	GENCODE
4930562C15Rik	ENSMUST00000171105.2	chr16	4858253	+	GENCODE
4930562C15Rik	ENSMUST00000180566.1	chr16	4850734	+	GENCODE
4930562F07Rik	ENSMUST00000028061.3	chr1	160077917	-	GENCODE
4930563D23Rik	ENSMUST00000062638.5	chr16	92321440	-	GENCODE
4930563I02Rik	ENSMUST00000149364.1	chr14	60087070	+	GENCODE
4930563I02Rik	ENSMUST00000154835.1	chr14	60087516	+	GENCODE
4930564B18Rik	ENSMUST00000022579.1	chr14	75642258	+	GENCODE
4930564D02Rik	ENSMUST00000070584.4	chr3	105066843	+	GENCODE
4930566N20Rik	ENSMUST00000067993.2	chr3	157208859	-	GENCODE
4930567H17Rik	ENSMUST00000092405.3	chrX	70394739	-	GENCODE
4930568D16Rik	ENSMUST00000028243.1	chr2	35367728	-	GENCODE
4930569F06Rik	ENSMUST00000036821.3	chr5	116821453	+	GENCODE
4930570N19Rik	ENSMUST00000166902.1	chr14	26638182	-	GENCODE
4930571K23Rik	ENSMUST00000166958.1	chr7	125368860	+	GENCODE
4930572O03Rik	ENSMUST00000092696.4	chr5	15657058	-	GENCODE
4930578C19Rik	ENSMUST00000044188.4	chrX	18461370	-	GENCODE
4930578G10Rik	ENSMUST00000068158.3	chr4	42735544	+	GENCODE
4930578G10Rik	ENSMUST00000107984.1	chr4	42735911	+	GENCODE
4930578I06Rik	ENSMUST00000022532.5	chr14	63987779	-	GENCODE
4930578I07Rik	ENSMUST00000052898.3	chr14	66937364	+	GENCODE
4930579C12Rik	ENSMUST00000098484.3	chr9	89177812	-	GENCODE
4930579F01Rik	ENSMUST00000012186.4	chr3	138186712	-	GENCODE
4930579G24Rik	ENSMUST00000029388.8	chr3	79629078	+	GENCODE
4930579K19Rik	ENSMUST00000058992.2	chr9	98563610	-	GENCODE
4930583I09Rik	ENSMUST00000024896.3	chr17	64836070	-	GENCODE
4930584F24Rik	ENSMUST00000030910.5	chr5	26493277	-	GENCODE
4930589L23Rik	ENSMUST00000091023.1	chr3	79568191	+	GENCODE
4930590J08Rik	ENSMUST00000059318.7	chr6	91914758	+	GENCODE
4930595D18Rik	ENSMUST00000121608.1	chr12	111184490	-	GENCODE
4930595M18Rik	ENSMUST00000080083.2	chrX	81458120	-	GENCODE
4930596D02Rik	ENSMUST00000043266.5	chr14	35811977	-	GENCODE
4930597O21Rik	ENSMUST00000065878.3	chr6	66896520	-	GENCODE
4931400O07Rik	ENSMUST00000033537.1	chrX	62467990	+	GENCODE
4931406B18Rik	ENSMUST00000013497.1	chr7	43505937	-	GENCODE
4931406C07Rik	ENSMUST00000034414.8	chr9	15301606	-	GENCODE
4931406C07Rik	ENSMUST00000178977.1	chr9	15306166	-	GENCODE
4931406C07Rik	ENSMUST00000180339.1	chr9	15306447	-	GENCODE
4931406P16Rik	ENSMUST00000085592.4	chr7	34285598	-	GENCODE
4931406P16Rik	ENSMUST00000108074.1	chr7	34313550	-	GENCODE
4931408C20Rik	ENSMUST00000097801.3	chr1	26687459	-	GENCODE
4931409K22Rik	ENSMUST00000088302.5	chr5	24555468	-	GENCODE
4931414P19Rik	ENSMUST00000022786.4	chr14	54605907	-	GENCODE
4931417E11Rik	ENSMUST00000070163.5	chr6	73469666	-	GENCODE
4931422A03Rik	ENSMUST00000056170.3	chr2	104028307	-	GENCODE
4931423N10Rik	ENSMUST00000028113.3	chr2	23207475	+	GENCODE
4931428F04Rik	ENSMUST00000171788.1,ENSMUST00000014981.6	chr8	105289527	-	GENCODE
4931428L18Rik	ENSMUST00000127775.1	chr1	31222610	-	GENCODE
4931429I11Rik	ENSMUST00000034521.7	chr9	40964117	-	GENCODE
4931429L15Rik	ENSMUST00000172280.1	chr9	46311586	-	GENCODE
4931429P17Rik	ENSMUST00000061899.5	chr13	48018607	-	GENCODE
4931431F19Rik	ENSMUST00000053743.4	chr7	104129822	-	GENCODE
4931440F15Rik	ENSMUST00000104962.1	chr11	29825667	-	GENCODE
4931440L10Rik	ENSMUST00000052911.7	chr1	134547021	-	GENCODE
4931440L10Rik	ENSMUST00000172898.1	chr1	134549681	-	GENCODE
4931440P22Rik	ENSMUST00000099076.3	chr3	65529378	-	GENCODE
4932411E22Rik	ENSMUST00000050983.1	chr11	89418947	-	GENCODE
4932411N23Rik	ENSMUST00000081074.4	chrX	126815867	-	GENCODE
4932411N23Rik	ENSMUST00000180241.1	chrX	126834003	-	GENCODE
4932414N04Rik	ENSMUST00000055930.5	chr2	68659841	+	GENCODE
4932414N04Rik	ENSMUST00000128259.2	chr2	68657883	+	GENCODE
4932415D10Rik	ENSMUST00000171401.1	chr10	82285277	-	GENCODE
4932418E24Rik	ENSMUST00000057224.3	chr2	26294556	-	GENCODE
4932418E24Rik	ENSMUST00000155409.1	chr2	26288022	-	GENCODE
4932427H20Rik	ENSMUST00000181138.1	chr9	88438597	+	GENCODE
4932429P05Rik	ENSMUST00000113958.1	chrX	89752267	+	GENCODE
4932431P20Rik	ENSMUST00000098602.1	chr7	29536715	+	GENCODE
4932431P20Rik	ENSMUST00000141713.1	chr7	29519204	+	GENCODE
4932438A13Rik	ENSMUST00000057272.8	chr3	36863105	+	GENCODE
4932438A13Rik	ENSMUST00000152564.1	chr3	36869997	+	GENCODE
4932438H23Rik	ENSMUST00000035689.1,ENSMUST00000114076.1	chr16	91069144	-	GENCODE
4932442E05Rik	ENSMUST00000059966.4	chr10	118860825	+	GENCODE
4932442L08Rik	ENSMUST00000150601.2	chrX	94365732	-	GENCODE
